0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,40,60,120,240
1,161.4,199.5,215.7,224.6,230.2,234.0,236.8,238.9,240.5,241.9,243.0,243.9,244.7,245.4,245.9,248.0,251.1,252.2,253.3,253.8
2,18.513,19.000,19.164,19.247,19.296,19.329,19.353,19.371,19.385,19.396,19.405,19.412,19.419,19.424,19.429,19.446,19.471,19.479,19.487,19.492
3,10.128,9.552,9.277,9.117,9.013,8.941,8.887,8.845,8.812,8.785,8.763,8.745,8.729,8.715,8.703,8.660,8.594,8.572,8.549,8.538
4,7.709,6.944,6.591,6.388,6.256,6.163,6.094,6.041,5.999,5.964,5.936,5.912,5.891,5.873,5.858,5.803,5.717,5.688,5.658,5.643
5,6.608,5.786,5.409,5.192,5.050,4.950,4.876,4.818,4.772,4.735,4.704,4.678,4.655,4.636,4.619,4.558,4.464,4.431,4.398,4.382
6,5.987,5.143,4.757,4.534,4.387,4.284,4.207,4.147,4.099,4.060,4.027,4.000,3.976,3.956,3.938,3.874,3.774,3.740,3.705,3.687
7,5.591,4.737,4.347,4.120,3.972,3.866,3.787,3.726,3.677,3.637,3.603,3.575,3.550,3.529,3.511,3.445,3.340,3.304,3.267,3.249
8,5.318,4.459,4.066,3.838,3.688,3.581,3.500,3.438,3.388,3.347,3.313,3.284,3.259,3.237,3.218,3.150,3.043,3.005,2.967,2.947
9,5.117,4.256,3.863,3.633,3.482,3.374,3.293,3.230,3.179,3.137,3.102,3.073,3.048,3.025,3.006,2.936,2.826,2.787,2.748,2.727
10,4.965,4.103,3.708,3.478,3.326,3.217,3.135,3.072,3.020,2.978,2.943,2.913,2.887,2.865,2.845,2.774,2.661,2.621,2.580,2.559
11,4.844,3.982,3.587,3.357,3.204,3.095,3.012,2.948,2.896,2.854,2.818,2.788,2.761,2.739,2.719,2.646,2.531,2.490,2.448,2.426
12,4.747,3.885,3.490,3.259,3.106,2.996,2.913,2.849,2.796,2.753,2.717,2.687,2.660,2.637,2.617,2.544,2.426,2.384,2.341,2.319
13,4.667,3.806,3.411,3.179,3.025,2.915,2.832,2.767,2.714,2.671,2.635,2.604,2.577,2.554,2.533,2.459,2.339,2.297,2.252,2.230
